;Method;nselected;tn;fn;fp;tp;data.i;sensitivity;specificity;false.pos.rate;false.neg.rate;false.disc.rate;false.omit.rate;expo;ICC
tot.520;Av.MMPC;5;493;2;4;1;10;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.521;Av.DSA;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.522;DLNMpen.none;17;483;0;14;3;10;100;97,2;2,8;0;82,4;0;3;1
tot.523;DLNMpen.bonf;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.524;DLNMpen.bh;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.525;DLNMpen.by;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.526;DLNMselect.none;11;489;0;8;3;10;100;98,4;1,6;0;72,7;0;3;1
tot.527;DLNMselect.bonf;4;495;1;2;2;10;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.528;DLNMselect.bh;4;495;1;2;2;10;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.529;DLNMselect.by;3;495;2;2;1;10;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.530;DLNMselectback.none;12;488;0;9;3;10;100;98,2;1,8;0;75;0;3;1
tot.531;DLNMselectback.bonf;5;494;1;3;2;10;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.532;DLNMselectback.bh;5;494;1;3;2;10;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.533;DLNMselectback.by;4;494;2;3;1;10;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.534;DLNMselectforward.none;19;481;0;16;3;10;100;96,8;3,2;0;84,2;0;3;1
tot.535;DLNMselectforward.bonf;6;493;1;4;2;10;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.536;DLNMselectforward.bh;19;481;0;16;3;10;100;96,8;3,2;0;84,2;0;3;1
tot.537;DLNMselectforward.by;6;493;1;4;2;10;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.538;Av.DLNMpen.none;9;491;0;6;3;10;100;98,8;1,2;0;66,7;0;3;1
tot.539;Av.DLNMpen.bonf;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.540;Av.DLNMpen.bh;7;493;0;4;3;10;100;99,2;0,8;0;57,1;0;3;1
tot.541;Av.DLNMpen.by;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.542;Av.DLNMselect.none;4;496;0;1;3;10;100;99,8;0,2;0;25;0;3;1
tot.543;Av.DLNMselect.bonf;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.544;Av.DLNMselect.bh;3;496;1;1;2;10;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.545;Av.DLNMselect.by;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.546;Av.DLNMselectback.none;5;495;0;2;3;10;100;99,6;0,4;0;40;0;3;1
tot.547;Av.DLNMselectback.bonf;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.548;Av.DLNMselectback.bh;5;495;0;2;3;10;100;99,6;0,4;0;40;0;3;1
tot.549;Av.DLNMselectback.by;4;496;0;1;3;10;100;99,8;0,2;0;25;0;3;1
tot.550;Raw.ExWAS.none;51;449;0;48;3;11;100;90,3;9,7;0;94,1;0;3;1
tot.551;Raw.ExWAS.MLM.none;7;492;1;5;2;11;66,7;99;1;33,3;71,4;0,2;3;1
tot.552;Raw.Exwas.bon;9;491;0;6;3;11;100;98,8;1,2;0;66,7;0;3;1
