"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"38";"Av.ExWAS.MLM.by";"23.132";"10.64";"5.46";"14.6048620657504";"7.79992229953529";"3.44486149316206";"7.284";"8.404";"6.922";"18.3776858546918";"20.2580470106787";"16.5597514986478";"23.1 (14.6)";"10.6 (7.8)";"5.5 (3.4)";"7.3 (18.4)";"8.4 (20.3)";"6.9 (16.6)"
"39";"Av.ENET.min";"78.134";"67.16";"48.88";"12.6055080152778";"12.6911406305757";"8.49156444164835";"64.089";"59.492";"55.79";"14.8483777639923";"12.7806804959436";"8.60771911035835";"78.1 (12.6)";"67.2 (12.7)";"48.9 (8.5)";"64.1 (14.8)";"59.5 (12.8)";"55.8 (8.6)"
"40";"Av.ENET.opt";"37.927";"30.12";"16.88";"19.6123227341971";"17.5552691448316";"11.6178893752417";"3.901";"7.92";"11.795";"9.64486040973286";"11.753065364174";"16.4521858484494";"37.9 (19.6)";"30.1 (17.6)";"16.9 (11.6)";"3.9 (9.6)";"7.9 (11.8)";"11.8 (16.5)"
"41";"Av.sPLS";"90";"80.52";"65.54";"18.2092938863204";"18.6809901755607";"23.3408732406558";"17.987";"19.115";"30.94";"22.8175311609917";"23.5555795573539";"23.4772617266541";"90 (18.2)";"80.5 (18.7)";"65.5 (23.3)";"18 (22.8)";"19.1 (23.6)";"30.9 (23.5)"
"42";"Av.MMPC";"34.466";"23.6";"14.52";"11.331454567983";"6.24095304817261";"3.21134353078696";"21.982";"17.66";"18.348";"15.505003298056";"14.3167698518171";"12.6948767205316";"34.5 (11.3)";"23.6 (6.2)";"14.5 (3.2)";"22 (15.5)";"17.7 (14.3)";"18.3 (12.7)"
"43";"Av.DSA";"67.867";"48.08";"23.1";"23.3335240468397";"24.4468832575873";"11.6562724259811";"6.517";"8.513";"18.15";"13.2075434139095";"13.4182798202055";"16.3962270851029";"67.9 (23.3)";"48.1 (24.4)";"23.1 (11.7)";"6.5 (13.2)";"8.5 (13.4)";"18.1 (16.4)"
"44";"DLNMpen.AVG.none";"61.067";"48";"34.4";"16.3552052382059";"12.7382348173766";"8.63631047298895";"66.318";"60.378";"54.785";"15.2934222342929";"13.7148933276894";"10.1240325638322";"61.1 (16.4)";"48 (12.7)";"34.4 (8.6)";"66.3 (15.3)";"60.4 (13.7)";"54.8 (10.1)"
"45";"DLNMpen.AVG.bonf";"60.002";"44.8";"26.02";"16.9808982403907";"13.7862469896853";"9.18714516940036";"45.62";"37.328";"32.321";"23.313316089109";"20.366446360957";"17.9477653711592";"60 (17)";"44.8 (13.8)";"26 (9.2)";"45.6 (23.3)";"37.3 (20.4)";"32.3 (17.9)"
"46";"DLNMpen.AVG.bh";"61.067";"47.4";"33.76";"16.3552052382059";"12.9318337149966";"8.83189811096257";"62.374";"57.254";"52.163";"18.765100962729";"16.3686039710049";"11.6445648222246";"61.1 (16.4)";"47.4 (12.9)";"33.8 (8.8)";"62.4 (18.8)";"57.3 (16.4)";"52.2 (11.6)"
"47";"DLNMpen.AVG.by";"60.734";"45.84";"29.32";"16.6851002303543";"13.7559684016309";"9.72851686558853";"50.834";"43.564";"39.189";"23.4839907643957";"20.6260917433735";"18.0119875627204";"60.7 (16.7)";"45.8 (13.8)";"29.3 (9.7)";"50.8 (23.5)";"43.6 (20.6)";"39.2 (18)"
"48";"DLNMselect.AVG.none";"60.603";"44.12";"24.04";"14.9225235158403";"13.7446261307737";"8.02511210154875";"28.903";"24.054";"23.109";"18.622585695327";"15.8492355230991";"13.3459417279584";"60.6 (14.9)";"44.1 (13.7)";"24 (8)";"28.9 (18.6)";"24.1 (15.8)";"23.1 (13.3)"
"49";"DLNMselect.AVG.bonf";"58.27";"38.24";"13.2";"16.3161474210877";"14.5873336504758";"8.18967075471945";"3.326";"3.652";"4.053";"11.9023859758954";"9.90888265928886";"12.8593828888803";"58.3 (16.3)";"38.2 (14.6)";"13.2 (8.2)";"3.3 (11.9)";"3.7 (9.9)";"4.1 (12.9)"
"50";"DLNMselect.AVG.bh";"60.269";"43.48";"23.14";"15.0670601651484";"14.07230965371";"8.34244350513467";"21.897";"19.352";"17.188";"19.1564028117721";"16.4384464354793";"14.5700902987295";"60.3 (15.1)";"43.5 (14.1)";"23.1 (8.3)";"21.9 (19.2)";"19.4 (16.4)";"17.2 (14.6)"
"51";"DLNMselect.AVG.by";"59.802";"40.92";"18.92";"15.2603068663958";"14.4373813345073";"8.83253855772718";"10.835";"9.71";"7.818";"14.2861971599488";"14.5820735386593";"13.62486126331";"59.8 (15.3)";"40.9 (14.4)";"18.9 (8.8)";"10.8 (14.3)";"9.7 (14.6)";"7.8 (13.6)"
"52";"DLNMselectback.AVG.none";"62.335";"46.2";"25.56";"15.2296917270511";"13.4824989441045";"8.15793596395064";"28.643";"24.51";"24.028";"17.9285577453481";"16.420001968528";"13.9153362093117";"62.3 (15.2)";"46.2 (13.5)";"25.6 (8.2)";"28.6 (17.9)";"24.5 (16.4)";"24 (13.9)"
"53";"DLNMselectback.AVG.bonf";"62.335";"44.96";"22.34";"15.2296917270511";"13.8344614362946";"8.63656778068134";"17.991";"12.668";"12.45";"16.108458754156";"15.9480208708469";"14.3894356590472";"62.3 (15.2)";"45 (13.8)";"22.3 (8.6)";"18 (16.1)";"12.7 (15.9)";"12.4 (14.4)"
"54";"DLNMselectback.AVG.bh";"62.335";"46.2";"25.56";"15.2296917270511";"13.4824989441045";"8.15793596395064";"28.643";"24.51";"24.028";"17.9285577453481";"16.420001968528";"13.9153362093117";"62.3 (15.2)";"46.2 (13.5)";"25.6 (8.2)";"28.6 (17.9)";"24.5 (16.4)";"24 (13.9)"
"55";"DLNMselectback.AVG.by";"62.335";"45.76";"24.44";"15.2296917270511";"13.7430386418401";"8.44509301071314";"24.395";"18.643";"18.372";"16.4173926927598";"16.4405218465187";"14.9191157969102";"62.3 (15.2)";"45.8 (13.7)";"24.4 (8.4)";"24.4 (16.4)";"18.6 (16.4)";"18.4 (14.9)"
