"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"11";"Raw.SPLS";"84.341";"58.2";"28.8";"22.44825742939";"26.2228214278396";"23.5822223745179";"17.336";"23.009";"28.833";"22.865595522222";"25.343463265762";"30.7491382978549";"84.3 (22.4)";"58.2 (26.2)";"28.8 (23.6)";"17.3 (22.9)";"23 (25.3)";"28.8 (30.7)"
"12";"Raw.sNPLS";"72.01";"54.4";"42.5";"23.5622386650567";"27.5724939793705";"29.3145601083051";"32.353";"43.846";"46.602";"31.9527063870112";"33.4941798652913";"29.810922613544";"72 (23.6)";"54.4 (27.6)";"42.5 (29.3)";"32.4 (32)";"43.8 (33.5)";"46.6 (29.8)"
"13";"Raw.MMPC";"95.337";"79.4";"47.4";"12.5453573448145";"18.0806275031895";"14.3983725230712";"66.315";"58.27";"53.613";"9.64730951136537";"11.9199137343499";"13.7866181275155";"95.3 (12.5)";"79.4 (18.1)";"47.4 (14.4)";"66.3 (9.6)";"58.3 (11.9)";"53.6 (13.8)"
"14";"Raw.DSA";"78.344";"45.6";"15.1";"26.9554301794947";"27.2778446377423";"15.0752322125606";"13.514";"14.764";"14.334";"20.5826936227423";"21.7766602887893";"26.580448575309";"78.3 (27)";"45.6 (27.3)";"15.1 (15.1)";"13.5 (20.6)";"14.8 (21.8)";"14.3 (26.6)"
"15";"Av.EWAS.none";"90";"73";"53";"30.1511344577764";"44.6196043338474";"32.4270743594786";"91.722";"93.851";"92.283";"4.41987202154867";"4.79188065398338";"5.2521867499705";"90 (30.2)";"73 (44.6)";"53 (32.4)";"91.7 (4.4)";"93.9 (4.8)";"92.3 (5.3)"
"16";"Av.EWAS.bon";"51";"25";"11.5";"50.2418393795691";"43.5194139889245";"23.4143614739399";"64.652";"62.432";"61.931";"37.6310598126901";"44.1127363820372";"45.283653025271";"51 (50.2)";"25 (43.5)";"11.5 (23.4)";"64.7 (37.6)";"62.4 (44.1)";"61.9 (45.3)"
"17";"Av.EWAS.bh";"64";"33";"19";"48.2418151324422";"47.2581562625261";"27.3215052012997";"66.796";"64.455";"62.462";"34.459476771912";"41.9162088052589";"43.5731076827361";"64 (48.2)";"33 (47.3)";"19 (27.3)";"66.8 (34.5)";"64.5 (41.9)";"62.5 (43.6)"
"18";"Av.EWAS.by";"42";"24";"10";"49.6044963748858";"42.9234695990928";"22.4733287487747";"54.393";"50.44";"33.915";"42.005327355737";"45.88018211724";"44.5536185314103";"42 (49.6)";"24 (42.9)";"10 (22.5)";"54.4 (42)";"50.4 (45.9)";"33.9 (44.6)"
"19";"Av.EWAS_LM.none";"67";"51";"26";"47.2581562625261";"50.2418393795691";"32.1612100882948";"82.477";"86.089";"86.072";"18.1185259005274";"17.2253858645262";"21.1122544719622";"67 (47.3)";"51 (50.2)";"26 (32.2)";"82.5 (18.1)";"86.1 (17.2)";"86.1 (21.1)"
"20";"Av.EWAS_LM.bon";"48";"24";"8.5";"50.2116731568678";"42.9234695990928";"18.8762584034318";"59.554";"56.719";"51.751";"39.6632018349248";"45.3897525368176";"47.1302804184659";"48 (50.2)";"24 (42.9)";"8.5 (18.9)";"59.6 (39.7)";"56.7 (45.4)";"51.8 (47.1)"
