"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"34";"Av.2step.EWAS_LM.bh";"68.008";"43.6";"27.9";"27.601082104391";"23.6779742513262";"15.7822941323753";"11.73";"11.864";"12.5";"21.7857774938169";"21.9493610040212";"19.3552331555332";"68 (27.6)";"43.6 (23.7)";"27.9 (15.8)";"11.7 (21.8)";"11.9 (21.9)";"12.5 (19.4)"
"35";"Av.2step.EWAS_LM.by";"68.01";"40.8";"23.1";"27.5997639427762";"24.6051649336911";"13.0805584781771";"8.314";"8.701";"7.333";"19.5747364495849";"20.5767029929628";"17.0581776650534";"68 (27.6)";"40.8 (24.6)";"23.1 (13.1)";"8.3 (19.6)";"8.7 (20.6)";"7.3 (17.1)"
"36";"Av.2step.ENET_MIN";"99.001";"96.2";"88.1";"5.70917204632558";"8.38228049295812";"10.1199872240108";"76.008";"71.315";"64.562";"12.6074507392024";"11.4856640991272";"8.61139461247231";"99 (5.7)";"96.2 (8.4)";"88.1 (10.1)";"76 (12.6)";"71.3 (11.5)";"64.6 (8.6)"
"37";"Av.2step.ENET_OPT";"76.343";"65";"44.1";"25.2033758160539";"25.3261552829114";"26.134655192296";"6.216";"10.888";"14.341";"14.6090170024467";"14.4221930553315";"18.4825940229769";"76.3 (25.2)";"65 (25.3)";"44.1 (26.1)";"6.2 (14.6)";"10.9 (14.4)";"14.3 (18.5)"
"38";"Av.2step.SPLS";"95.338";"84.4";"70.1";"11.6128784310586";"16.4728120050444";"19.4102440931992";"19.222";"19.835";"31.842";"23.7269721642018";"24.1950089811093";"23.6997727474933";"95.3 (11.6)";"84.4 (16.5)";"70.1 (19.4)";"19.2 (23.7)";"19.8 (24.2)";"31.8 (23.7)"
"39";"Av.2step.MMPC";"97.003";"88.6";"63.6";"9.57786225911322";"13.7083621165766";"12.7540843131393";"29.3";"19.977";"19.721";"17.554757046154";"15.4215568329373";"13.0170618028723";"97 (9.6)";"88.6 (13.7)";"63.6 (12.8)";"29.3 (17.6)";"20 (15.4)";"19.7 (13)"
"40";"Av.2step.DSA";"97.003";"85.6";"63.4";"9.57786225911322";"15.5907250335161";"19.7571109817057";"7.691";"10.048";"19.216";"15.0114037123162";"15.1055376828125";"16.5250206375274";"97 (9.6)";"85.6 (15.6)";"63.4 (19.8)";"7.7 (15)";"10 (15.1)";"19.2 (16.5)"
"41";"DLNMpen.none";"99.334";"96.2";"83.6";"4.68548629473845";"7.88554488807325";"9.79795897113271";"82.574";"74.998";"65.729";"5.11297853456764";"7.50949540329583";"7.15704491526998";"99.3 (4.7)";"96.2 (7.9)";"83.6 (9.8)";"82.6 (5.1)";"75 (7.5)";"65.7 (7.2)"
"42";"DLNMpen.bonf";"94.339";"76.8";"46.2";"12.5715880966856";"16.9895987194067";"15.4906292951447";"39.353";"32.825";"24.854";"25.5096791097581";"22.3701206518829";"19.5312514145454";"94.3 (12.6)";"76.8 (17)";"46.2 (15.5)";"39.4 (25.5)";"32.8 (22.4)";"24.9 (19.5)"
"43";"DLNMpen.bh";"98.002";"89.2";"65.7";"7.94815244397887";"13.1564018291822";"16.2216341390568";"53.219";"46.262";"42.279";"25.7796007954297";"22.171506785316";"18.225281004055";"98 (7.9)";"89.2 (13.2)";"65.7 (16.2)";"53.2 (25.8)";"46.3 (22.2)";"42.3 (18.2)"
"44";"DLNMpen.by";"94.672";"78.2";"48.2";"12.2694832076098";"17.3135084762614";"18.7153045997821";"39.617";"32.572";"26.923";"26.4268231312067";"23.2008667549688";"20.5471168564135";"94.7 (12.3)";"78.2 (17.3)";"48.2 (18.7)";"39.6 (26.4)";"32.6 (23.2)";"26.9 (20.5)"
"45";"DLNMselect.none";"98.335";"93.4";"78.1";"7.29412902146776";"10.2710734344055";"14.9541386454139";"80.767";"72.85";"59.572";"4.3881625661626";"6.20274458639403";"9.67718424695402";"98.3 (7.3)";"93.4 (10.3)";"78.1 (15)";"80.8 (4.4)";"72.8 (6.2)";"59.6 (9.7)"
"46";"DLNMselect.bonf";"92.34";"73.8";"37.6";"14.8623380027871";"16.983652270476";"14.6418522866418";"13.332";"12.145";"11.188";"17.0594141787229";"15.1284358314755";"16.4562860176575";"92.3 (14.9)";"73.8 (17)";"37.6 (14.6)";"13.3 (17.1)";"12.1 (15.1)";"11.2 (16.5)"
"47";"DLNMselect.bh";"95.67";"85.2";"56.8";"12.2151545221499";"14.388547634501";"17.9156271721003";"33.119";"33.394";"24.489";"23.3906209944296";"18.4490059955062";"16.7301451447875";"95.7 (12.2)";"85.2 (14.4)";"56.8 (17.9)";"33.1 (23.4)";"33.4 (18.4)";"24.5 (16.7)"
"48";"DLNMselect.by";"92.34";"73.6";"36.7";"14.8623380027871";"17.0276068177355";"17.5266031558262";"11.649";"12.042";"9.982";"16.7216516933446";"15.7003775287556";"15.5445295843908";"92.3 (14.9)";"73.6 (17)";"36.7 (17.5)";"11.6 (16.7)";"12 (15.7)";"10 (15.5)"
"49";"DLNMselectback.none";"96.669";"89.4";"68.4";"11.1057605854718";"12.8566297797257";"14.6142313371507";"69.904";"60.823";"47.959";"9.25491864858461";"11.3353550335829";"11.0879231325771";"96.7 (11.1)";"89.4 (12.9)";"68.4 (14.6)";"69.9 (9.3)";"60.8 (11.3)";"48 (11.1)"
