"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"42";"Av.MMPC";"65.342";"43.2";"19.5";"26.7771581386038";"22.8689724078258";"10.480862791225";"53.786";"55.595";"60.207";"20.8847100806192";"23.734922380409";"20.4387790212328";"65.3 (26.8)";"43.2 (22.9)";"19.5 (10.5)";"53.8 (20.9)";"55.6 (23.7)";"60.2 (20.4)"
"43";"Av.DSA";"53.333";"21.6";"10.1";"29.6014061056961";"23.0379572607355";"11.3257550420591";"34.945";"43.92";"35.63";"33.1563129110971";"37.8306433431626";"35.6507058595314";"53.3 (29.6)";"21.6 (23)";"10.1 (11.3)";"34.9 (33.2)";"43.9 (37.8)";"35.6 (35.7)"
"44";"DLNMpen.AVG.none";"71.014";"52";"28.8";"24.4635206465513";"21.649177090293";"15.9721980676146";"79.644";"77.314";"80.704";"12.9385597062705";"15.4739926484682";"11.5787503032866";"71 (24.5)";"52 (21.6)";"28.8 (16)";"79.6 (12.9)";"77.3 (15.5)";"80.7 (11.6)"
"45";"DLNMpen.AVG.bonf";"67.014";"39.8";"17.1";"25.736559775753";"18.7476597866173";"12.1684307562934";"59.547";"56.599";"65.668";"25.2560082060695";"26.7011349019195";"27.8438535008676";"67 (25.7)";"39.8 (18.7)";"17.1 (12.2)";"59.5 (25.3)";"56.6 (26.7)";"65.7 (27.8)"
"46";"DLNMpen.AVG.bh";"70.681";"50.8";"26.7";"25.1976978866697";"21.7274206495113";"16.2091756032617";"75.012";"72.438";"75.347";"19.217659597465";"20.9686720628849";"19.7440104969849";"70.7 (25.2)";"50.8 (21.7)";"26.7 (16.2)";"75 (19.2)";"72.4 (21)";"75.3 (19.7)"
"47";"DLNMpen.AVG.by";"67.68";"42";"19.1";"26.1515165560588";"21.7422922601844";"14.7774739848777";"61.022";"59.555";"60.313";"26.7983701449219";"27.8845831015541";"31.8572309315525";"67.7 (26.2)";"42 (21.7)";"19.1 (14.8)";"61 (26.8)";"59.6 (27.9)";"60.3 (31.9)"
"48";"DLNMselect.AVG.none";"63.341";"41";"15.7";"28.2387336790795";"20.572610996962";"10.7548438699345";"71.381";"69.874";"78.014";"18.9833669619517";"16.6007765426254";"17.6711659222165";"63.3 (28.2)";"41 (20.6)";"15.7 (10.8)";"71.4 (19)";"69.9 (16.6)";"78 (17.7)"
"49";"DLNMselect.AVG.bonf";"42.327";"17.6";"4";"26.3321474800118";"15.6424700315158";"6.19546918189723";"42.986";"43.48";"31.716";"30.9002697513642";"35.5674604438417";"39.5296071625338";"42.3 (26.3)";"17.6 (15.6)";"4 (6.2)";"43 (30.9)";"43.5 (35.6)";"31.7 (39.5)"
"50";"DLNMselect.AVG.bh";"61.674";"37.2";"13.1";"28.5851682245224";"20.8931867489202";"10.4151210974596";"68.324";"67.391";"72.447";"20.8106282092744";"21.6430738448711";"26.681429455293";"61.7 (28.6)";"37.2 (20.9)";"13.1 (10.4)";"68.3 (20.8)";"67.4 (21.6)";"72.4 (26.7)"
"51";"DLNMselect.AVG.by";"53.336";"27.4";"8.4";"28.441460417972";"20.2319878739914";"9.28994242732593";"56.871";"55.326";"56.61";"27.6959038469408";"29.5739805787575";"37.9809667910631";"53.3 (28.4)";"27.4 (20.2)";"8.4 (9.3)";"56.9 (27.7)";"55.3 (29.6)";"56.6 (38)"
"52";"DLNMselectback.AVG.none";"66.346";"41.4";"16.5";"26.1702136951246";"20.1519480472983";"11.4922020113948";"70.712";"70.861";"78.43";"18.3196162458153";"17.5836350397784";"15.9420826744814";"66.3 (26.2)";"41.4 (20.2)";"16.5 (11.5)";"70.7 (18.3)";"70.9 (17.6)";"78.4 (15.9)"
"53";"DLNMselectback.AVG.bonf";"62.011";"35";"12.2";"26.3983351747795";"19.7714210644832";"9.5958745344449";"61.401";"63.936";"78.057";"23.1600077414896";"22.4074460928514";"17.6747623246346";"62 (26.4)";"35 (19.8)";"12.2 (9.6)";"61.4 (23.2)";"63.9 (22.4)";"78.1 (17.7)"
"54";"DLNMselectback.AVG.bh";"66.346";"41.4";"16.5";"26.1702136951246";"20.1519480472983";"11.4922020113948";"70.712";"70.861";"78.43";"18.3196162458153";"17.5836350397784";"15.9420826744814";"66.3 (26.2)";"41.4 (20.2)";"16.5 (11.5)";"70.7 (18.3)";"70.9 (17.6)";"78.4 (15.9)"
"55";"DLNMselectback.AVG.by";"63.677";"37.6";"13.8";"27.2650953648163";"20.1569598477308";"10.2277104283442";"66.803";"66.986";"78.875";"20.0346742605732";"20.5529619876223";"16.1715261362605";"63.7 (27.3)";"37.6 (20.2)";"13.8 (10.2)";"66.8 (20)";"67 (20.6)";"78.9 (16.2)"
